ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24045,JB344519,07/10/2018 11:26:00 PM,085XX S HERMITAGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0614,006,18,71,01A,1166165,1848114,2018,07/17/2018 03:53:57 PM,41.738799084,-87.666788086,"(41.738799084, -87.666788086)"
24044,JB344497,07/10/2018 11:10:00 PM,028XX W 57TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0824,008,16,63,01A,1158484,1866727,2018,07/17/2018 03:53:57 PM,41.79003576,-87.694423383,"(41.79003576, -87.694423383)"
11382891,JB353104,07/03/2018 12:15:00 AM,078XX S INGLESIDE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0624,006,8,69,06,,,2018,07/17/2018 03:53:57 PM,,,
11382890,JB353080,07/03/2018 12:15:00 AM,078XX S INGLESIDE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0624,006,8,69,11,,,2018,07/17/2018 03:53:57 PM,,,
11382886,JB351505,07/02/2018 09:00:00 AM,014XX E 66TH PL,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0321,003,5,42,11,,,2018,07/17/2018 03:53:57 PM,,,
11382883,JB353132,07/07/2018 06:00:00 PM,077XX N MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2422,024,49,1,08B,,,2018,07/17/2018 03:53:57 PM,,,
11382861,JB351963,07/02/2018 02:00:00 PM,072XX W IRVING PARK RD,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,1631,016,38,17,05,,,2018,07/17/2018 03:53:57 PM,,,
11382856,JB350582,07/10/2018 09:00:00 AM,061XX W ADDISON ST,0810,THEFT,OVER $500,APARTMENT,false,false,1633,016,38,17,06,,,2018,07/17/2018 03:53:57 PM,,,
11382855,JB353182,06/20/2018 12:00:00 AM,068XX S MAY ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0724,007,17,68,05,,,2018,07/17/2018 03:53:57 PM,,,
11382841,JB323465,06/26/2018 01:05:00 PM,036XX W DIVISION ST,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,false,false,1112,011,27,23,26,,,2018,07/17/2018 03:53:57 PM,,,
